objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
128165,SN,2023grp,238.754670087,39.6701682514,0.0387,5,SN Ic,48,ZTF,48,ZTF,2023-04-24 08:19:52.896,20.3689,110,g,K. De (Caltech) on behalf of ZTF,2023-04-24 20:00:12,"ZTF23aahnmag, PS23cpo, ATLAS23kga",2023TNSTR.901....1D,2023TNSCR1408....1S,2023-04-24 20:00:19,2023-06-16 17:14:12
130023,SN,2023jjm,311.44033365,10.85750076,0.11,5,SN Ic,74,ALeRCE,48,ZTF,2023-05-22 10:16:16.003,20.2136,110,g,"A. Munoz-Arancibia, F.E. Bauer, F. Forster, G. Pignata, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-05-25 00:50:30,"ZTF23aalhqci, ATLAS23lmb",2023TNSTR1224....1M,2023TNSCR1334....1K,2023-05-25 00:50:39,2023-06-15 18:32:55
129776,SN,2023jac,255.022254818,51.9319765392,0.0495,5,SN Ic,48,ZTF,48,ZTF,2023-05-20 08:42:43.200,18.94,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-05-20 23:31:50,"ZTF23aakstht, ATLAS23ljn, PS23dqc",2023TNSTR1171....1F,2023TNSCR1383....1S,2023-05-20 23:31:51,2023-06-14 18:41:40
130512,SN,2023kbd,238.57889399,12.128717411,0.035,5,SN Ic,48,ZTF,48,ZTF,2023-06-08 06:27:21.600,19.07,110,g,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,2023-06-08 09:23:28,"ZTF23aamzljd, ATLAS23lti, PS23dzq",2023TNSTR1347....1F,2023TNSCR1361....1T,2023-06-08 09:23:29,2023-06-10 20:27:00
127010,SN,2023fbk,194.2895201,-10.0714198,0.037,5,SN Ic,74,ALeRCE,48,ZTF,2023-04-10 06:33:32.999,19.0215,111,r,"A. Munoz-Arancibia, G. Pignata, F. Forster, F.E. Bauer, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-04-10 21:45:44,ZTF23aaemnzd,2023TNSTR.752....1M,2023TNSCR1223....1S,2023-04-10 21:45:54,2023-05-24 21:06:38
129015,SN,2023hxp,256.570010532,38.3928536272,0.0328,5,SN Ic,74,ALeRCE,48,ZTF,2023-05-11 07:56:23.997,19.9255,111,r,"A. Munoz-Arancibia, F.E. Bauer, F. Forster, G. Pignata, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-05-11 15:40:40,"ZTF23aajakys, ATLAS23khr, PS23dir",2023TNSTR1050....1M,2023TNSCR1223....1S,2023-05-11 15:40:42,2023-05-24 21:05:01
126390,SN,2023eeb,240.15553824,19.714479576,0.0415,5,SN Ic,74,ALeRCE,48,ZTF,2023-03-29 10:09:04.003,19.253,111,r,"A. Munoz-Arancibia, G. Pignata, F.E. Bauer, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, E. Camacho, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, A. Moya E. Reyes, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-03-29 21:20:29,"ZTF23aaecgwh, ATLAS23ena, PS23bdl",2023TNSTR.663....1M,2023TNSCR.875....1T,2023-03-29 21:20:32,2023-05-15 10:50:42
127600,SN,2023fwr,247.116929918,41.2191485633,0.02831,5,SN Ic,74,ALeRCE,48,ZTF,2023-04-16 11:14:24.999,19.2935,110,g,"F. Forster, F.E. Bauer, G. Pignata, A. Munoz-Arancibia, A. Mourao, R. Dastidar, L. Hernandez-Garcia, L. Galbany, E. Camacho, J. Silva-Farfan, J. Arredondo, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, E. Reyes, I. Reyes, P. Sanchez-Saez, C. Valenzuela, E. Castillo, D. Ruz-Mieres, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2023-04-17 02:20:35,"ZTF23aafwykt, ATLAS23jlt, PS23cwd",2023TNSTR.819....1F,2023TNSCR.904....1H,2023-04-17 02:20:39,2023-05-12 18:47:26
125628,SN,2023dbc,167.913458,55.674719,0.0023,5,SN Ic,48,ZTF,48,ZTF,2023-03-13 06:53:42.720,19.47,111,r,Anna Y. Q. Ho (Cornell),2023-03-14 15:57:19,", ATLAS23dsh, ZTF23aadaxfn, Gaia23bgm, PS23bmf",2023TNSTR.533....1H,"2023TNSCR.559....1L, 2023TNSCR.607....1P",2023-03-14 15:57:19,2023-03-29 22:38:10
124635,SN,2023bpv,135.164054134,50.6786777192,0.0170649998,5,SN Ic,48,ZTF,48,ZTF,2023-02-12 07:44:43.872,18.7855,111,r,K. De (Caltech) on behalf of ZTF,2023-02-12 19:00:12,"ZTF23aachsdv, ATLAS23dnc, PS23ayl",2023TNSTR.344....1D,2023TNSCR.410....1S,2023-02-12 19:00:22,2023-03-22 10:44:25
