"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"207630","SN 2026ldw","21:13:03.790","-58:43:09.95","SN Ia","0.05","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26ezl","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.822","orange-ATLAS","2026-04-24 07:46:42.240","ATLAS_Bot1","","","2026TNSTR1906....1T","2026TNSCR1949....1K","",""
"207605","SN 2026lda","22:14:40.686","+05:04:50.71","SN Ia","0.026","LEDA 214810","","DCAP, ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ePESSTO+","ATLAS, GOTO, ZTF","DCAP34","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.207","r-ZTF","2026-04-29 11:48:24.000","Minrui Ning","","","2026TNSTR1889....1N","2026TNSCR1935....1C","",""
"207590","SN 2026lcl","09:53:43.270","-14:14:12.59","SN II","0.047","","","ZTF, GOTO, ATLAS, YSE","ZTF, GOTO, ATLAS, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF26aaukgfm","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","19.0389","i-ZTF","2026-04-29 04:01:45.998","Fritz","","","2026TNSTR1897....1S","2026TNSCR1963....1T","",""
"207552","SN 2026lba","12:45:10.715","+03:49:29.57","SN Ia","0.078","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+, ZTF","ATLAS, ZTF","ZTF19aaloljd","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","20.4956","r-ZTF","2026-04-17 07:07:42.000","Fritz","","","2026TNSTR1881....1P","2026TNSCR1949....1K, 2026TNSCR1981....1F","",""
"207546","SN 2026law","10:12:15.454","+09:16:57.07","SLSN-I","0.1","","","GOTO, ZTF","GOTO, ZTF","ePESSTO+","GOTO, ZTF","GOTO26ecb","GOTO-N - GOTO-1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.57","L-GOTO","2026-04-28 21:16:03.360","GOTO_bot","","","2026TNSTR1872....1O","2026TNSCR1949....1K","",""
"207545","SN 2026lav","16:24:24.258","+20:31:49.17","SN Ia","0.04","","","GOTO, ATLAS, ZTF, LAST","GOTO, ATLAS, ZTF, LAST","ePESSTO+","ATLAS, GOTO, LAST, ZTF","GOTO26eci","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, LAST - LAST-Cam, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.59","L-GOTO","2026-04-28 04:05:34.656","GOTO_bot","","","2026TNSTR1875....1M","2026TNSCR1949....1K","",""
"207544","SN 2026lau","10:59:41.050","-10:41:37.23","SN Ia","0.05","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ePESSTO+","ATLAS, GOTO, ZTF","ZTF25aateyvv","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.8093","i-ZTF","2026-04-29 04:33:03.997","Fritz","","","2026TNSTR1881....1P","2026TNSCR1935....1C","",""
"207541","SN 2026lat","06:47:41.003","+40:26:36.53","SLSN-II","0.127","","","ZTF, WFST","ZTF, WFST","ZTF","WFST, ZTF","ZTF26aaaxopn","P48 - ZTF-Cam, WFST - WFST-WFC","P60 - SEDM","1","1","","20.4123","r-ZTF","2026-01-12 05:00:33.001","Fritz","","","2026TNSTR1881....1P","2026TNSCR1914....1S","",""
"207538","SN 2026laq","17:42:31.778","+24:23:27.96","SN Ia","0.052","","","ZTF, ATLAS, GOTO, WFST","ZTF, ATLAS, GOTO, WFST","ZTF","ATLAS, GOTO, WFST, ZTF","ZTF26aauiydi","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam, WFST - WFST-WFC","P60 - SEDM","1","1","","20.1754","g-ZTF","2026-04-25 10:28:17.996","Fritz","","","2026TNSTR1882....1S","2026TNSCR1901....1F","",""
"207537","SN 2026lap","16:11:49.625","-12:20:03.25","SN Ia","0.042","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS, GOTO, ZTF","ZTF26aaumtdl","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","19.7623","r-ZTF","2026-04-28 09:30:07.004","Fritz","","","2026TNSTR1882....1S","2026TNSCR2002....1L","",""
"207520","SN 2026kzy","09:53:19.494","+07:58:19.43","SN Ia","0.063","","","GOTO, ZTF, ATLAS","GOTO, ZTF, ATLAS","ePESSTO+","ATLAS, GOTO, ZTF","GOTO26eca","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.14","L-GOTO","2026-04-28 09:45:18.144","GOTO_bot","","","2026TNSTR1854....1O","2026TNSCR1949....1K","",""
"207490","SN 2026kza","11:27:55.560","-13:38:57.45","SN Ia","0.01","WISEA J112755.53-133859.0","","DCAP, ZTF, ATLAS, GOTO, BlackGEM","ZTF, ATLAS, GOTO, BlackGEM","ePESSTO+","ATLAS, BlackGEM, GOTO, ZTF","DCAP23","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.353","g-ZTF","2026-04-23 07:06:10.000","Minrui Ning","","","2026TNSTR1852....1N","2026TNSCR1935....1C","",""
"207463","SN 2026kyp","09:07:24.047","+12:24:11.80","SN Ia","0.087","","","GOTO, ZTF, ATLAS","GOTO, ZTF, ATLAS","ZTF","ATLAS, GOTO, ZTF","GOTO26ebj","ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.6","L-GOTO","2026-04-27 10:10:30.144","GOTO_bot","","","2026TNSTR1841....1O","2026TNSCR2002....1L","",""
"207462","SN 2026kyo","10:06:04.967","-33:53:05.07","SN II","0.03","","","GOTO","GOTO","ePESSTO+","GOTO","GOTO26eax","GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.14","L-GOTO","2026-04-23 09:02:39.840","GOTO_bot","","","2026TNSTR1842....1R","2026TNSCR1936....1K","",""
"207456","SN 2026kyj","23:11:33.607","-50:49:14.02","SN Ia","0.04","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS26exq","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","17.035","cyan-ATLAS","2026-04-26 02:35:12.192","ATLAS_Bot1","","","2026TNSTR1840....1T","2026TNSCR1936....1K","",""
